comarca,comarca_key,any,sup_ha,quota_2024,quota_2024_pct,rank_2024,is_top5
ALT PENEDÈS,ALT PENEDES,2024,17384.0,0.3217888677044962,32.17888677044962,1,True
ALT CAMP,ALT CAMP,2024,6382.0,0.11813486848194288,11.813486848194287,2,True
TERRA ALTA,TERRA ALTA,2024,5875.0,0.10874997686170705,10.874997686170705,3,True
CONCA DE BARBERÀ,CONCA DE BARBERA,2024,4001.0,0.07406104807211743,7.406104807211743,4,True
PRIORAT,PRIORAT,2024,3684.0,0.06819317698017512,6.819317698017511,5,True
BAIX PENEDÈS,BAIX PENEDES,2024,3605.0,0.0667308368657794,6.6730836865779395,6,False
ANOIA,ANOIA,2024,2056.0,0.03805786424300761,3.805786424300761,7,False
SEGRIÀ,SEGRIA,2024,1886.0,0.034911056401902896,3.4911056401902893,8,False
ALT EMPORDÀ,ALT EMPORDA,2024,1806.0,0.033430205653147735,3.3430205653147733,9,False
URGELL,URGELL,2024,1282.0,0.023730633248801435,2.3730633248801434,10,False
TARRAGONÈS,TARRAGONES,2024,1262.0,0.023360420561612645,2.3360420561612645,11,False
RIBERA D'EBRE,RIBERA D'EBRE,2024,976.0,0.01806637913481295,1.8066379134812949,12,False
GARRAF,GARRAF,2024,864.0,0.015993188086555726,1.5993188086555725,13,False
GARRIGUES,GARRIGUES,2024,598.0,0.01106935934694482,1.1069359346944818,14,False
BAGES,BAGES,2024,425.0,0.007867019602761786,0.7867019602761786,15,False
NOGUERA,NOGUERA,2024,317.0,0.005867871091942321,0.5867871091942322,16,False
BAIX EMPORDÀ,BAIX EMPORDA,2024,265.0,0.004905318105251467,0.4905318105251467,17,False
PALLARS JUSSÀ,PALLARS JUSSA,2024,257.0,0.004757233030375951,0.47572330303759514,18,False
BAIX LLOBREGAT,BAIX LLOBREGAT,2024,254.0,0.0047017011272976325,0.4701701127297632,19,False
BAIX CAMP,BAIX CAMP,2024,213.0,0.003942765118560613,0.3942765118560613,20,False
MARESME,MARESME,2024,197.0,0.003646594968809581,0.3646594968809581,21,False
VALLÈS ORIENTAL,VALLES ORIENTAL,2024,144.0,0.0026655313477592876,0.26655313477592874,22,False
SEGARRA,SEGARRA,2024,67.0,0.0012402125020824465,0.12402125020824464,23,False
GIRONÈS,GIRONES,2024,39.0,0.0007219147400181404,0.07219147400181404,24,False
LA SELVA,SELVA,2024,34.0,0.0006293615682209429,0.06293615682209429,25,False
VALLÈS OCCIDENTAL,VALLES OCCIDENTAL,2024,28.0,0.0005182977620643059,0.05182977620643059,26,False
SOLSONÈS,SOLSONES,2024,25.0,0.00046276585898598745,0.046276585898598746,27,False
PALLARS SOBIRÀ,PALLARS SOBIRA,2024,19.0,0.00035170205282935045,0.035170205282935046,28,False
MOIANÈS,MOIANES,2024,13.0,0.00024063824667271347,0.024063824667271347,29,False
ALT URGELL,ALT URGELL,2024,11.0,0.00020361697795383447,0.020361697795383448,30,False
BERGUEDÀ,BERGUEDA,2024,10.0,0.00018510634359439497,0.018510634359439497,31,False
CERDANYA,CERDANYA,2024,10.0,0.00018510634359439497,0.018510634359439497,32,False
OSONA,OSONA,2024,9.0,0.00016659570923495547,0.016659570923495546,33,False
BAIX EBRE,BAIX EBRE,2024,7.0,0.00012957444051607647,0.012957444051607647,34,False
MONTSIÀ,MONTSIA,2024,7.0,0.00012957444051607647,0.012957444051607647,35,False
BARCELONÈS,BARCELONES,2024,3.0,5.5531903078318493e-05,0.005553190307831849,36,False
GARROTXA,GARROTXA,2024,3.0,5.5531903078318493e-05,0.005553190307831849,37,False
PLA DE L'ESTANY,PLA DE L'ESTANY,2024,3.0,5.5531903078318493e-05,0.005553190307831849,38,False
RIPOLLÈS,RIPOLLES,2024,1.0,1.8510634359439497e-05,0.0018510634359439496,39,False
VALL D'ARAN,ARAN,2024,1.0,1.8510634359439497e-05,0.0018510634359439496,40,False
