comarca_key,comarca_label,varietat_key,varietat_label,sup_acum,n_reg_acum,total_cat_sup_acum,total_cat_n_reg_acum,n_comarques_actives,es_prioritaria,ordre_varietat,comarca_principal,comarca_principal_sup_acum,rank_sup_comarca,rank_reg_comarca,is_top6_sup,is_top6_reg
ALT PENEDES,ALT PENEDÈS,CHARDONNAY,Chardonnay,530.6718586848805,325.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,1,1,True,True
SEGRIA,SEGRIÀ,CHARDONNAY,Chardonnay,346.54520970049043,85.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,2,3,True,True
GARRAF,GARRAF,CHARDONNAY,Chardonnay,189.11459873030145,25.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,3,7,True,False
TERRA ALTA,TERRA ALTA,CHARDONNAY,Chardonnay,176.3629427326956,147.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,4,2,True,True
ALT CAMP,ALT CAMP,CHARDONNAY,Chardonnay,115.50321300030032,82.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,5,4,True,True
URGELL,URGELL,CHARDONNAY,Chardonnay,96.43346660588166,64.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,6,5,True,True
GARRIGUES,GARRIGUES,CHARDONNAY,Chardonnay,19.36664696999449,26.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,7,6,False,True
NOGUERA,NOGUERA,CHARDONNAY,Chardonnay,15.380081682715216,20.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,8,8,False,False
ALT EMPORDA,ALT EMPORDÀ,CHARDONNAY,Chardonnay,10.548811094846906,11.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,9,10,False,False
TARRAGONES,TARRAGONÈS,CHARDONNAY,Chardonnay,8.320882113819946,16.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,10,9,False,False
MARESME,MARESME,CHARDONNAY,Chardonnay,5.948302984599279,8.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,11,11,False,False
GARROTXA,GARROTXA,CHARDONNAY,Chardonnay,4.47368283835657,3.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,12,12,False,False
SOLSONES,SOLSONÈS,CHARDONNAY,Chardonnay,0.3600604332144286,1.0,1519.0297575720967,813.0,13,True,1,ALT PENEDÈS,530.6718586848805,13,13,False,False
CONCA DE BARBERA,CONCA DE BARBERÀ,TREPAT,Trepat,407.4059585214394,517.0,491.08589688906346,608.0,4,True,2,CONCA DE BARBERÀ,407.4059585214394,1,1,True,True
ALT URGELL,ALT URGELL,TREPAT,Trepat,38.47889317352471,42.0,491.08589688906346,608.0,4,True,2,CONCA DE BARBERÀ,407.4059585214394,2,2,True,True
ALT CAMP,ALT CAMP,TREPAT,Trepat,35.29478725148485,35.0,491.08589688906346,608.0,4,True,2,CONCA DE BARBERÀ,407.4059585214394,3,3,True,True
URGELL,URGELL,TREPAT,Trepat,9.90625794261449,14.0,491.08589688906346,608.0,4,True,2,CONCA DE BARBERÀ,407.4059585214394,4,4,True,True
ALT PENEDES,ALT PENEDÈS,MERLOT,Merlot,56.30273755534672,46.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,1,2,True,True
PRIORAT,PRIORAT,MERLOT,Merlot,29.604274937299227,60.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,2,1,True,True
TERRA ALTA,TERRA ALTA,MERLOT,Merlot,16.161534914907335,30.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,3,3,True,True
ALT EMPORDA,ALT EMPORDÀ,MERLOT,Merlot,9.431891878109496,11.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,4,7,True,False
ANOIA,ANOIA,MERLOT,Merlot,8.424983008947352,18.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,5,4,True,True
NOGUERA,NOGUERA,MERLOT,Merlot,8.277029553505614,13.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,6,6,True,True
GARRIGUES,GARRIGUES,MERLOT,Merlot,7.101327125883656,17.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,7,5,False,True
PALLARS JUSSA,PALLARS JUSSÀ,MERLOT,Merlot,1.694564269646934,7.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,8,8,False,False
VALLES OCCIDENTAL,VALLÈS OCCIDENTAL,MERLOT,Merlot,0.1467350504264717,2.0,137.14507829407282,204.0,9,True,3,ALT PENEDÈS,56.30273755534672,9,9,False,False
ALT PENEDES,ALT PENEDÈS,CABERNET SAUVIGNON,Cabernet Sauvignon,119.09833106167744,65.0,423.64910751247544,315.0,12,True,4,ALT PENEDÈS,119.09833106167744,1,2,True,True
