ambit_key,ambit_label,varietat,sup_acum,n_reg_acum,sup_2024,ordre_ambit,rank_sup,rank_reg,is_top12_chart,is_top5_sup,is_top5_reg
__TOTAL__,Tot Catalunya,"Xarel.lo, Pansa blanca, Pansal, Cartoixà",15114.406214748358,8780.0,247.58737665379087,0,1,1,True,True,True
__TOTAL__,Tot Catalunya,"Parellada, Montonega, Montonec",9533.881266584349,6183.0,197.3191260039354,0,2,3,True,True,True
__TOTAL__,Tot Catalunya,"Macabeu, Viura",9477.416564759727,8770.0,229.24234705058487,0,3,2,True,True,True
__TOTAL__,Tot Catalunya,"Garnatxa negra, Lledoner",7264.78967047991,5563.0,521.4845370505648,0,4,4,True,True,True
__TOTAL__,Tot Catalunya,"Garnatxa blanca, Lledoner blanc",4341.7126948647565,4504.0,225.90721382183756,0,5,5,True,True,True
__TOTAL__,Tot Catalunya,"Cariñena, Mazuela, Samsó",2213.3650787091374,2428.0,134.92940901881514,0,6,6,True,False,False
__TOTAL__,Tot Catalunya,Chardonnay,1519.0297575720965,813.0,123.9918230205081,0,7,9,True,False,False
__TOTAL__,Tot Catalunya,"Moscatell de Alexandria, Moscatell de Màlaga, Moscatell Romà",1246.3529983234446,841.0,21.11176616821831,0,8,8,True,False,False
__TOTAL__,Tot Catalunya,Syrah,952.6495742755745,869.0,10.349091646946258,0,9,7,True,False,False
__TOTAL__,Tot Catalunya,Pinot noir,834.4261295813462,465.0,55.420046653256335,0,10,11,True,False,False
__TOTAL__,Tot Catalunya,"Garnatxa peluda, Lledoner pelut",644.0758015532235,305.0,220.92515090741574,0,11,13,True,False,False
__TOTAL__,Tot Catalunya,Trepat,491.08589688906346,608.0,27.76074673673018,0,12,10,True,False,False
__TOTAL__,Tot Catalunya,Sauvignon blanc,429.4944144088962,248.0,2.2557802333668793,0,13,15,False,False,False
__TOTAL__,Tot Catalunya,Cabernet Sauvignon,423.64910751247544,315.0,28.43823692189514,0,14,12,False,False,False
__TOTAL__,Tot Catalunya,"Malvasia de Sitges, Malvasia grossa, Malvasia aromàtica",392.2437518395046,286.0,16.96104483368256,0,15,14,False,False,False
__TOTAL__,Tot Catalunya,"Moscatell de gra petit, Moscatell de gra menut, Muscat de Frontignan",379.9296722948302,243.0,13.012375090443669,0,16,16,False,False,False
__TOTAL__,Tot Catalunya,Albarinyo,335.0418240113952,45.0,123.13945086264168,0,17,31,False,False,False
__TOTAL__,Tot Catalunya,"Garnatxa roja, Lledoner gris",259.5655844353193,154.0,7.6156059736765975,0,18,22,False,False,False
__TOTAL__,Tot Catalunya,"Ull de llebre, Tempranillo, Cencibel, Tinto fino, Tinta de Toro, Tinta del País",226.15853653576409,217.0,1.5153914355505982,0,19,19,False,False,False
