COMARCA,VARIETAT,n_reg_2008,sup_2008,quota_reg_2008,quota_sup_2008,n_reg_2024,sup_2024,quota_reg_2024,quota_sup_2024,delta_n_reg,delta_sup_ha,delta_quota_reg_pp,delta_quota_sup_pp,n_reg_acum_2008_2024,sup_registral_acum_2008_2024_ha,n_campanyes_actives_2008_2024,campanya_primera,campanya_darrera,sup_registral_mitjana_campanya_activa_ha
ALT CAMP,Chardonnay,2.0,0.2585335194058115,0.0263157894736842,0.0028745910262148,16.0,39.47559754672733,0.1045751633986928,0.2959495350335499,14.0,39.21706402732152,7.825937392500861,29.307494400733514,82,115.50321300030033,14,2008,2024,8.250229500021453
ALT CAMP,"Garnatxa blanca,Lledoner blanc",0.0,0.0,0.0,0.0,3.0,1.091758657706971,0.0196078431372549,0.0081849417664867,3.0,1.091758657706971,1.9607843137254901,0.81849417664867,59,100.58587299072263,11,2013,2024,9.144170271883876
ALT CAMP,"Garnatxa negra,Lledoner",0.0,0.0,0.0,0.0,3.0,2.776155272854762,0.0196078431372549,0.0208129050158081,3.0,2.776155272854762,1.9607843137254901,2.0812905015808103,120,105.10958984178008,13,2012,2024,8.085353064752313
ALT CAMP,"Macabeu,Viura",30.0,23.18264994645912,0.3947368421052631,0.257764013165998,44.0,23.196725505244267,0.2875816993464052,0.1739064271149219,14.0,0.01407555878514799,-10.71551427588579,-8.38575860510761,1840,2125.6206976203944,17,2008,2024,125.03651162472909
ALT CAMP,"Malvasia de Sitges,Malvasia grossa,Malvasia aromàtica",0.0,0.0,0.0,0.0,1.0,0.0065559276480935,0.0065359477124183,4.9149952369188e-05,1.0,0.0065559276480935,0.65359477124183,0.0049149952369188,20,7.273330400810519,8,2012,2024,0.9091663001013148
ALT CAMP,"Monastrell,Garrut,Mourvedre,Mataró",0.0,0.0,0.0,0.0,4.0,3.1971249298140973,0.0261437908496732,0.0239689249872063,4.0,3.1971249298140973,2.61437908496732,2.39689249872063,43,43.037067281799175,7,2015,2024,6.148152468828454
ALT CAMP,"Moscatell de Alexandria,Moscatell de Màlaga,Moscatell Romà",6.0,32.23573230743611,0.0789473684210526,0.3584237240393083,0.0,0.0,0.0,0.0,-6.0,-32.23573230743611,-7.89473684210526,-35.84237240393083,84,139.15401046734087,12,2008,2022,11.596167538945073
ALT CAMP,"Moscatell de gra petit,Moscatell de gra menut,Muscat de Frontignan",2.0,1.2789397298778358,0.0263157894736842,0.0142203172688246,0.0,0.0,0.0,0.0,-2.0,-1.2789397298778358,-2.63157894736842,-1.42203172688246,45,22.570268354210558,8,2008,2023,2.8212835442763198
ALT CAMP,"Parellada,Montonega,Montonec",22.0,20.678071277640747,0.2894736842105263,0.2299160212213505,63.0,49.55481425299323,0.4117647058823529,0.3715136729592867,41.0,28.876742975352485,12.22910216718266,14.159765173793623,2273,4232.9110489004,17,2008,2024,248.99476758237645
ALT CAMP,Pinot noir,1.0,1.9805523195512815,0.0131578947368421,0.0220214304814941,0.0,0.0,0.0,0.0,-1.0,-1.9805523195512815,-1.31578947368421,-2.2021430481494098,24,51.53478766029973,8,2008,2021,6.441848457537466
ALT CAMP,Tarragoní,0.0,0.0,0.0,0.0,1.0,0.3549995555483606,0.0065359477124183,0.0026614404830045,1.0,0.3549995555483606,0.65359477124183,0.26614404830044996,1,0.3549995555483606,1,2024,2024,0.3549995555483606
ALT CAMP,Trepat,0.0,0.0,0.0,0.0,4.0,3.615567820434372,0.0261437908496732,0.0271060017286179,4.0,3.615567820434372,2.61437908496732,2.71060017286179,35,35.29478725148485,10,2010,2024,3.529478725148485
ALT CAMP,"Ull de llebre,Tempranillo,Cencibel,Tinto fino,Tinta de Toro,Tinta del País",2.0,0.3015909887419229,0.0263157894736842,0.0033533398370056,0.0,0.0,0.0,0.0,-2.0,-0.3015909887419229,-2.63157894736842,-0.33533398370056,32,102.04492216742807,5,2008,2022,20.408984433485614
ALT CAMP,Xarel.lo rosat,0.0,0.0,0.0,0.0,3.0,0.9929681370015327,0.0196078431372549,0.0074443067796727,3.0,0.9929681370015327,1.9607843137254901,0.74443067796727,13,5.83349509142826,5,2017,2024,1.166699018285652
ALT CAMP,"Xarel.lo,Pansa blanca,Pansal,Cartoixà",11.0,10.021426079251338,0.1447368421052631,0.1114265629598037,11.0,9.123978607430342,0.0718954248366013,0.0684026941790758,0.0,-0.8974474718209962,-7.2841417268661806,-4.302386878072791,735,600.4763593486139,17,2008,2024,35.32213878521258
ALT EMPORDÀ,Cabernet Sauvignon,2.0,2.3918646216127244,0.0909090909090909,0.1098830099436065,2.0,0.427993047082703,0.0273972602739726,0.0046138940440686,0.0,-1.9638715745300215,-6.351183063511829,-10.526911589953789,13,8.315471799001942,6,2008,2024,1.3859119665003237
ALT EMPORDÀ,"Carinyena blanca, Carignan blanc",0.0,0.0,0.0,0.0,2.0,0.1812065721895269,0.0273972602739726,0.0019534614636153,2.0,0.1812065721895269,2.73972602739726,0.19534614636153,24,15.043077804558068,7,2013,2024,2.149011114936867
ALT EMPORDÀ,Carinyena gris,0.0,0.0,0.0,0.0,3.0,1.4468351999759124,0.0410958904109589,0.0155973195298842,3.0,1.4468351999759124,4.10958904109589,1.5597319529884202,26,11.550603106701782,6,2013,2024,1.9251005177836304
ALT EMPORDÀ,"Cariñena,Mazuela,Samsó",0.0,0.0,0.0,0.0,2.0,2.7405836849908702,0.0273972602739726,0.0295443181323636,2.0,2.7405836849908702,2.73972602739726,2.95443181323636,58,25.062611206499433,11,2012,2024,2.2784192005908577
ALT EMPORDÀ,Chardonnay,0.0,0.0,0.0,0.0,3.0,5.669207223346527,0.0410958904109589,0.0611157625589535,3.0,5.669207223346527,4.10958904109589,6.11157625589535,11,10.548811094846906,6,2016,2024,1.7581351824744844
ALT EMPORDÀ,"Garnatxa blanca,Lledoner blanc",5.0,2.0816928212937067,0.2272727272727272,0.0956336202788601,13.0,7.445496372610417,0.1780821917808219,0.0802646949591304,8.0,5.36380355131671,-4.91905354919053,-1.5368925319729707,174,161.0508266648472,17,2008,2024,9.47357803910866
ALT EMPORDÀ,"Garnatxa negra,Lledoner",1.0,0.8002911918341303,0.0454545454545454,0.0367656280357529,3.0,1.4181577416503872,0.0410958904109589,0.0152881678857885,2.0,0.6178665498162569,-0.43586550435864985,-2.1477460149964402,224,399.93118897471567,16,2008,2024,24.99569931091973
