any,comarca,sup_seca_ha,sup_reg_ha,rend_seca_kg_ha,rend_reg_kg_ha,prod_total_t,sup_total_ha,rend_total_kg_ha,precip_anual_mm,tmax_mitjana_any,tmin_mitjana_any,elev_m_num,precip_apr_sep_mm,tmax_mitjana_apr_sep,tmin_mitjana_apr_sep,precip_oct_mar_mm,tmax_mitjana_oct_mar,tmin_mitjana_oct_mar,proxy_de,precip_abr_jun_mm,precip_jul_aug_mm,tmax_mitjana_jun_aug,tmax_mitjana_jul_aug,comarca_raw,temp_font,temp_proxy_de,clima_font
2013,ALT CAMP,5752,"34,3",9939.0,14898.0,57680,"5786,3","9968,373572",574.1,21.60833333,10.575,230,243.8,26.6,14.16666667,330.3,16.61666667,6.983333333,,172.8,47.0,29.8,31.0,ALT CAMP,directe,,directe
2012,ALT CAMP,5914,35,6650.0,10620.0,39699,5949,"6673,22239",459.4,22.11666667,10.65,230,222.7,27.31666667,15.48333333,236.7,16.91666667,5.816666667,,147.1,32.1,30.6,31.1,ALT CAMP,directe,,directe
2011,ALT CAMP,5930,36,6950.0,13300.0,41690,5966,"6987,931612",572.1,22.11666667,11.11666667,230,209.4,27.18333333,15.13333333,362.7,17.05,7.1,,147.5,28.9,28.86666667,29.9,ALT CAMP,directe,,directe
2010,ALT CAMP,6075,39,6000.0,11500.0,36893,6114,"6034,18384",680.4,20.425,9.716666667,230,428.7,26.46666667,14.48333333,251.7,14.38333333,4.95,,177.2,93.9,29.5,30.5,ALT CAMP,directe,,directe
2009,ALT CAMP,6325,41,6581.0,11249.0,42086,6366,"6611,05875",480.4,21.65833333,10.76666667,230,229.2,27.15,14.96666667,251.2,16.16666667,6.566666667,,141.9,48.7,30.3,30.9,ALT CAMP,directe,,directe
2008,ALT CAMP,6576,43,5820.0,9950.0,38700,6619,"5846,804653",556.5,21.025,10.1,230,358.3,26.01666667,14.06666667,198.2,16.03333333,6.133333333,,258.0,40.4,29.53333333,30.8,ALT CAMP,directe,,directe
2014,ALT CAMP,5805,32,9217.0,13826.0,"53947,117",5837,"9242,267775",596.0,22.39166667,11.4,230,336.0,27.3,15.11666667,260.0,17.48333333,7.683333333,,192.5,36.5,29.56666667,29.85,ALT CAMP,directe,,directe
2015,ALT CAMP,5827,28,9165.0,13748.0,53789,5855,"9186,848847",426.5,22.275,10.65,230,221.0,27.43333333,14.7,205.5,17.11666667,6.6,,94.5,40.9,30.46666667,31.0,ALT CAMP,directe,,directe
2016,ALT CAMP,5930,28,9000.0,12000.0,53706,5958,"9014,098691",373.6,22.49166667,10.925,230,151.5,27.65,14.46666667,222.1,17.33333333,7.383333333,,92.2,21.4,31.06666667,32.05,ALT CAMP,directe,,directe
2017,ALT CAMP,6038,26,8194.0,9423.0,"49720,37",6064,"8199,269459",324.6,22.68333333,10.33333333,230,113.5,28.31666667,14.53333333,211.1,17.05,6.133333333,,53.6,45.5,31.5,31.85,ALT CAMP,directe,,directe
2018,ALT CAMP,6157,25,9000.0,12000.0,55713,6182,"9012,131996",770.4,22.25,11.15833333,230,305.0,28.23333333,15.48333333,465.4,16.26666667,6.833333333,,197.2,50.3,31.46666667,32.9,ALT CAMP,directe,,directe
2019,ALT CAMP,6262,24,7902.0,8695.0,"49691,004",6286,"7905,027681",383.1,22.36666667,10.35833333,230,200.6,27.4,14.3,182.5,17.33333333,6.416666667,,90.5,56.8,31.03333333,32.25,ALT CAMP,directe,,directe
2020,ALT CAMP,6348,22,5781.0,7240.0,"36857,068",6370,"5786,038932",605.8,21.91666667,10.86666667,230,380.1,27.06666667,14.93333333,225.7,16.76666667,6.8,,201.8,59.3,30.0,31.8,ALT CAMP,directe,,directe
2021,ALT CAMP,6258,23,6307.0,7956.0,"39652,194",6281,"6313,03837",420.1,21.575,10.95,230,215.4,26.7,15.08333333,204.7,16.45,6.816666667,,90.1,63.8,30.06666667,30.55,ALT CAMP,directe,,directe
2022,ALT CAMP,6278,20,5288.0,6670.0,"33331,464",6298,"5292,388695",390.2,22.90833333,11.63333333,230,252.0,28.21666667,15.76666667,138.2,17.6,7.5,,135.9,68.4,31.56666667,32.15,ALT CAMP,directe,,directe
2023,ALT CAMP,6284,22,5038.0,4083.0,"31748,618",6306,"5034,668252",248.3,22.975,11.46666667,230,178.9,28.01666667,15.96666667,69.4,17.93333333,6.966666667,,86.5,36.6,30.96666667,32.0,ALT CAMP,directe,,directe
2024,ALT CAMP,6358,24,4742.0,3748.0,"30239,588",6382,"4738,261987",703.6,22.375,11.79166667,230,312.5,27.13333333,15.26666667,391.1,17.61666667,8.316666667,,161.2,37.1,30.3,31.65,ALT CAMP,directe,,directe
2013,ALT EMPORDÀ,"1765,4","51,5",4230.0,6150.0,7784,"1816,9","4284,220375",1183.5,21.05833333,9.016666667,31,492.0,25.95,12.98333333,691.5,16.16666667,5.05,,312.8,101.6,29.76666667,31.25,ALT EMPORDÀ,directe,,directe
2012,ALT EMPORDÀ,1747,59,4050.0,6650.0,7467,1806,"4134,551495",1037.8,21.65,9.191666667,31,543.1,26.56666667,13.6,494.7,16.73333333,4.783333333,,279.9,82.2,29.93333333,30.6,ALT EMPORDÀ,directe,,directe
2011,ALT EMPORDÀ,1863,61,5075.0,8200.0,9954,1924,"5173,596674",1411.3,22.325,9.675,31,370.4,27.38333333,13.68333333,1040.9,17.26666667,5.666666667,,184.3,139.8,29.0,29.8,ALT EMPORDÀ,directe,,directe
2010,ALT EMPORDÀ,1747,59,4250.0,6850.0,7831,1806,"4336,101883",1623.3,20.90833333,8.516666667,31,607.0,26.9,13.36666667,1016.3,14.91666667,3.666666667,,332.6,78.5,30.73333333,31.85,ALT EMPORDÀ,directe,,directe
2009,ALT EMPORDÀ,1866,82,5350.0,9630.0,10773,1948,"5530,287474",781.5,22.08333333,9.55,31,351.5,27.5,14.16666667,430.0,16.66666667,4.933333333,,257.8,67.2,30.96666667,31.85,ALT EMPORDÀ,directe,,directe
2008,ALT EMPORDÀ,1867,84,4200.0,6642.0,8399,1951,"4304,971809",1050.0,21.38333333,8.916666667,31,410.9,26.46666667,13.05,639.1,16.3,4.783333333,,277.8,69.4,29.6,30.4,ALT EMPORDÀ,directe,,directe
2014,ALT EMPORDÀ,1622,172,4100.0,6100.0,"7699,4",1794,"4291,750279",1394.7,22.275,9.883333333,31,663.0,26.56666667,13.93333333,731.7,17.98333333,5.833333333,,207.0,218.2,28.9,28.8,ALT EMPORDÀ,directe,,directe
2015,ALT EMPORDÀ,1729,52,3690.0,5490.0,6665,1781,"3742,279618",961.3,22.25,9.45,31,447.2,27.5,14.0,514.1,17.0,4.9,,240.7,121.1,30.73333333,31.2,ALT EMPORDÀ,directe,,directe
2016,ALT EMPORDÀ,1713,57,3324.0,5462.0,"6005,346",1770,"3392,850847",1102.8,22.38333333,9.325,31,456.8,27.55,13.71666667,646.0,17.21666667,4.933333333,,344.5,21.1,30.7,32.1,ALT EMPORDÀ,directe,,directe
2017,ALT EMPORDÀ,1714,55,4353.0,6337.0,"7809,577",1769,"4414,684568",961.7,22.33333333,9.4,31,291.1,27.35,13.85,670.6,17.31666667,4.95,,154.2,48.8,30.76666667,31.1,ALT EMPORDÀ,directe,,directe
2018,ALT EMPORDÀ,1701,53,4450.0,6500.0,"7913,95",1754,"4511,944128",1602.9,22.49166667,10.25,31,589.8,28.23333333,14.75,1013.1,16.75,5.75,,411.4,149.1,31.46666667,32.9,ALT EMPORDÀ,directe,,directe
2019,ALT EMPORDÀ,1719,54,4499.0,6500.0,"8084,781",1773,"4559,944162",1095.2,22.91666667,9.433333333,31,480.9,27.63333333,13.8,614.3,18.2,5.066666667,,278.6,56.6,31.86666667,32.9,ALT EMPORDÀ,directe,,directe
2020,ALT EMPORDÀ,1735,60,3356.0,4951.0,"6119,72",1795,"3409,314763",1436.3,22.44166667,9.741666667,31,781.0,27.58333333,14.31666667,655.3,17.3,5.166666667,,530.2,62.6,30.56666667,32.25,ALT EMPORDÀ,directe,,directe
2021,ALT EMPORDÀ,1737,60,4065.0,6000.0,7421,1797,"4129,660545",799.9,22.14166667,9.791666667,31,251.6,27.5,14.08333333,548.3,16.78333333,5.5,,135.9,33.7,31.16666667,31.55,ALT EMPORDÀ,directe,,directe
2022,ALT EMPORDÀ,1727,61,3970.0,5809.0,"7210,539",1788,"4032,739933",841.6,23.65833333,10.525,31,340.7,29.18333333,15.21666667,500.9,18.13333333,5.833333333,,156.1,25.8,33.26666667,34.0,ALT EMPORDÀ,directe,,directe
2023,ALT EMPORDÀ,1730,72,4262.0,4295.0,"7682,5",1802,"4263,318535",473.0,24.01666667,10.31666667,31,281.4,29.36666667,15.3,191.6,18.66666667,5.333333333,,142.7,83.1,32.63333333,33.4,ALT EMPORDÀ,directe,,directe
2024,ALT EMPORDÀ,1727,79,2489.0,4300.0,"4638,203",1806,"2568,218715",1275.9,23.06666667,10.69166667,31,474.7,27.66666667,14.53333333,801.2,18.46666667,6.85,,369.2,40.3,31.76666667,33.8,ALT EMPORDÀ,directe,,directe
2013,ALT PENEDÈS,"16498,2","15,2",12471.0,15000.0,205977,"16513,4","12473,32469",1838.4,21.26666667,9.958333333,325,875.8,25.85,13.95,962.6,16.68333333,5.966666667,,599.0,159.8,29.16666667,30.55,ALT PENEDÈS,directe,,directe
2012,ALT PENEDÈS,16363,13,9543.0,15178.0,156346,16376,"9547,264289",1340.9,21.51666667,10.125,325,726.0,26.46666667,15.15,614.9,16.56666667,5.1,,386.4,188.1,29.73333333,30.15,ALT PENEDÈS,directe,,directe
2011,ALT PENEDÈS,16423,16,10329.0,15178.0,169882,16439,"10334,08358",2070.6,21.61666667,10.69166667,325,886.8,26.25,15.18333333,1183.8,16.98333333,6.2,,678.9,140.6,27.76666667,28.85,ALT PENEDÈS,directe,,directe
2010,ALT PENEDÈS,16464,16,10097.0,14837.0,166469,16480,"10101,27427",2135.7,20.075,9.525,325,1124.9,25.41666667,14.25,1010.8,14.73333333,4.8,,614.4,308.4,28.53333333,29.85,ALT PENEDÈS,directe,,directe
2009,ALT PENEDÈS,16687,14,9874.0,14509.0,164971,16701,"9877,911502",1641.9,21.80833333,10.50833333,325,703.4,27.25,15.08333333,938.5,16.36666667,5.933333333,,360.2,215.7,30.53333333,31.25,ALT PENEDÈS,directe,,directe
2008,ALT PENEDÈS,17451,15,8909.0,13091.0,155667,17466,"8912,572999",1896.7,20.89166667,9.908333333,325,1036.8,25.65,14.38333333,859.9,16.13333333,5.433333333,,780.9,157.7,28.73333333,29.75,ALT PENEDÈS,directe,,directe
2014,ALT PENEDÈS,16601,15,10679.0,17000.0,"177537,079",16616,"10684,70625",1742.6,21.75,10.725,325,929.8,26.21666667,14.95,812.8,17.28333333,6.5,,329.8,301.5,28.73333333,28.9,ALT PENEDÈS,directe,,directe
2015,ALT PENEDÈS,16666,15,10174.0,17000.0,169815,16681,"10180,14508",1026.1,22.275,10.26666667,325,569.6,27.36666667,14.98333333,456.5,17.18333333,5.55,,181.0,259.1,30.63333333,31.15,ALT PENEDÈS,directe,,directe
2016,ALT PENEDÈS,16737,15,8424.0,16333.0,"141237,483",16752,"8431,081841",1475.2,21.94166667,10.4,325,617.3,26.68333333,14.53333333,857.9,17.2,6.266666667,,341.0,88.9,29.86666667,30.75,ALT PENEDÈS,directe,,directe
